Customer ID,orders_2022,revenue_2022,avg_order_value_2022,main_dish_share_2022,pay_share_Cash,pay_share_Credit Card,pay_share_Digital Wallet,pay_share_Unknown,order_consistency_2022,revenue_2023,high_value_2023
CUST_001,88,1703.5,19.35795455,0.136363636,0.25,0.386363636,0.284090909,0.079545455,2.309401077,1320,0
CUST_002,82,1618,19.73170732,0.195121951,0.329268293,0.280487805,0.353658537,0.036585366,2.918073254,1631.5,0
CUST_003,80,1485.5,18.56875,0.2,0.3375,0.375,0.2625,0.025,2.188122206,1127.5,0
CUST_004,78,1618.5,20.75,0.217948718,0.333333333,0.307692308,0.320512821,0.038461538,2.746899078,1556,0
CUST_005,69,1207.5,17.5,0.15942029,0.31884058,0.420289855,0.217391304,0.043478261,3.621275516,1519,0
CUST_006,74,1567,21.17567568,0.243243243,0.310810811,0.351351351,0.297297297,0.040540541,3.099364549,1774,1
CUST_007,92,1754.5,19.07065217,0.282608696,0.315217391,0.315217391,0.326086957,0.043478261,2.640018365,1633.5,0
CUST_008,72,1492.5,20.72916667,0.236111111,0.291666667,0.402777778,0.25,0.055555556,2.522624896,1853.5,1
CUST_009,81,1492.5,18.42592593,0.160493827,0.333333333,0.333333333,0.296296296,0.037037037,3.107907803,1441,0
CUST_010,87,1747.5,20.0862069,0.195402299,0.298850575,0.367816092,0.298850575,0.034482759,2.632834629,1431,0
CUST_011,92,1390.5,15.11413043,0.130434783,0.239130435,0.336956522,0.380434783,0.043478261,2.498484389,1493,0
CUST_012,89,1562.5,17.55617978,0.123595506,0.235955056,0.325842697,0.415730337,0.02247191,2.937479852,1743,0
CUST_013,70,1221,17.44285714,0.114285714,0.357142857,0.314285714,0.285714286,0.042857143,2.367712104,1425,0
CUST_014,79,1695.5,21.46202532,0.240506329,0.253164557,0.392405063,0.303797468,0.050632911,1.378954369,1652,0
CUST_015,87,1427.5,16.40804598,0.091954023,0.413793103,0.275862069,0.229885057,0.08045977,3.695820736,1339.5,0
CUST_016,92,1574.5,17.11413043,0.152173913,0.358695652,0.239130435,0.336956522,0.065217391,2.10338832,1465,0
CUST_017,91,2037,22.38461538,0.274725275,0.32967033,0.32967033,0.274725275,0.065934066,3.232177238,1890.5,1
CUST_018,93,1504,16.17204301,0.139784946,0.279569892,0.301075269,0.387096774,0.032258065,1.712255291,1720,0
CUST_019,103,2010,19.51456311,0.213592233,0.359223301,0.262135922,0.359223301,0.019417476,2.574643253,1732,0
CUST_020,90,2279,25.32222222,0.266666667,0.322222222,0.244444444,0.388888889,0.044444444,2.276360732,1742.5,0
CUST_021,76,1758,23.13157895,0.302631579,0.460526316,0.236842105,0.236842105,0.065789474,2.933608802,1781,1
CUST_022,92,2214,24.06521739,0.282608696,0.282608696,0.326086957,0.326086957,0.065217391,2.570225789,1598.5,0
CUST_023,77,1755,22.79220779,0.25974026,0.350649351,0.246753247,0.311688312,0.090909091,2.353269808,1382.5,0
CUST_024,83,1331.5,16.04216867,0.168674699,0.337349398,0.301204819,0.289156627,0.072289157,2.274696117,1638,0
CUST_025,78,1508,19.33333333,0.179487179,0.371794872,0.346153846,0.230769231,0.051282051,3.630677372,1675.5,0
CUST_026,88,1791,20.35227273,0.261363636,0.340909091,0.261363636,0.375,0.022727273,1.723280874,1852,1
CUST_027,84,2026.5,24.125,0.25,0.25,0.392857143,0.321428571,0.035714286,2.374102701,1253.5,0
CUST_028,96,2067,21.53125,0.208333333,0.302083333,0.34375,0.270833333,0.083333333,2.256304299,1850,1
CUST_029,91,1564,17.18681319,0.131868132,0.406593407,0.296703297,0.241758242,0.054945055,2.539088359,1330,0
CUST_030,67,1473.5,21.99253731,0.194029851,0.313432836,0.298507463,0.358208955,0.029850746,3.342789617,1402,0
CUST_031,71,1410,19.85915493,0.169014085,0.38028169,0.309859155,0.267605634,0.042253521,2.234373344,1597.5,0
CUST_032,85,1826.5,21.48823529,0.188235294,0.329411765,0.329411765,0.235294118,0.105882353,3.203927514,1494,0
CUST_033,83,1667.5,20.09036145,0.228915663,0.253012048,0.313253012,0.361445783,0.072289157,1.621353718,1810,1
CUST_034,82,1620.5,19.76219512,0.231707317,0.390243902,0.256097561,0.317073171,0.036585366,3.069892901,1536.5,0
CUST_035,73,1573,21.54794521,0.219178082,0.219178082,0.410958904,0.301369863,0.068493151,3.117642855,1683,0
CUST_036,80,1800,22.5,0.225,0.325,0.3625,0.2875,0.025,2.605355789,1350,0
CUST_037,83,1560,18.79518072,0.265060241,0.289156627,0.385542169,0.277108434,0.048192771,3.232177238,1787,1
